Stadium,Lat,Long, in USA
Orange Bowl, 25.957960, -80.239311, true
Rice Stadium, 29.71639, -95.40917, true
Balboa Stadium, 32.71916379, -117.150332732, true
Lambeau Field, 44.501308, -88.062317, true
Atlanta-Fulton County Stadium, 33.736997052, -84.386998452, true
War Memorial Stadium, 34.743247027, -92.324665368, true
Tiger Stadium, 30.412035, -91.183815, true
Pitt Stadium, 40.44438, -79.961777, true
Kezar Stadium, 37.766830266, -122.453664852, true
Busch Memorial Stadium, 38.620164186 -90.18916591, true
RFK Memorial Stadium, 38.887163118, -76.969662788, true
Los Angeles Memorial Coliseum, 34.014091, -118.288422, true
Cleveland Municipal Stadium, 41.4995, -81.69541, true
Cotton Bowl, 32.7745, -96.7558, true
Mile High Stadium, 39.744129, -105.020828, true
Metropolitan Stadium, 44.852663256, -93.238499046, true
Shea Stadium, 40.75333032, -73.842163298, true
Oakland Coliseum, 37.751637, -122.201553, true
Franklin Field, 39.9499962, -75.18999924, true
Memorial Stadium (Baltimore), 39.324332036, -76.60083093, true
Fenway Park, 42.346268, -71.095764, true
Kansas City Municipal Stadium, 39.084832994, -94.55416445, true
Yankee Stadium, 40.829659, -73.926186, true
Wrigley Field, 41.948463, -87.655800, true
Qualcomm Stadium, 32.7765, -117.1183, true
Tulane Stadium, 29.938996244, -90.117166198, true
Alumni Stadium, 42.334331996, -71.159832694, true
Houston Astrodome, 29.684853, -95.412178, true
Nippert Stadium, 39.1253, -84.5097, true
Legion Field, 33.5068, -86.8390, true
Harvard Stadium, 42.36639, -71.12722, true
Cinergy Field, 39.091332968, -84.50499798, true
Veterans Stadium, 33.8236067056, -118.135021127, true
Three Rivers Stadium, 40.441331568, -80.007666636, true
Soldier Field, 41.862366, -87.617256, true
Foxboro Stadium, 42.0889529775, -71.2671305981, true
Arrowhead Stadium, 39.048786, -94.484566, true
Candlestick Park, 37.7082, -122.3850, true
Texas Stadium, 32.8372, -96.9065, true
Yale Bowl, 41.307832102, -72.956329508, true
Ralph Wilson Stadium, 42.773773, -78.787460, true
Louisiana Superdome, 29.951439, -90.081970, true
Pontiac Silverdome, 42.64083077, -83.252998988, true
Giants Stadium, 40.807330104, -74.072833042, true
Seattle Kingdome, 47.590664304, -122.326498694, true
Houlihan's Stadium, 27.973996104, -82.502164658, true
Rose Bowl, 34.161327, -118.167648, true
Anaheim Stadium, 33.800560, -117.883438, true
Hubert H. Humphrey Metrodome, 44.970996116, -93.254832314, true
Tampa Stadium, 27.973996104, -82.502164658, true
RCA Dome, 39.758163634, -86.157999368, true
Stanford Stadium, 37.4340, -122.1567, true
