SHOT_MADE_FLAG,SHOT_ATTEMPTED_FLAG,SEASON,X_ID
143,306,2014,708
266,713,2014,977
419,819,2014,1495
135,406,2014,1713
487,1062,2014,1717
293,656,2014,1718
13,30,2014,1737
42,95,2014,1882
145,290,2014,1889
119,267,2014,1890
188,446,2014,1891
0,5,2014,1905
251,589,2014,1938
9,22,2014,2030
37,114,2014,2034
332,839,2014,2037
83,188,2014,2045
293,440,2014,2199
570,1153,2014,2200
62,178,2014,2202
446,1025,2014,2207
144,324,2014,2210
454,932,2014,2216
14,30,2014,2217
14,34,2014,2222
57,130,2014,2223
404,832,2014,2225
120,207,2014,2365
209,481,2014,2399
110,276,2014,2400
307,601,2014,2403
273,490,2014,2405
161,396,2014,2406
177,402,2014,2419
16,48,2014,2422
371,743,2014,2430
277,623,2014,2440
218,517,2014,2446
300,642,2014,2449
15,35,2014,2457
58,137,2014,2501
624,1279,2014,2544
358,806,2014,2546
343,745,2014,2547
509,1084,2014,2548
283,549,2014,2549
142,381,2014,2550
106,253,2014,2555
75,176,2014,2557
323,686,2014,2561
6,21,2014,2563
291,631,2014,2564
102,227,2014,2570
183,386,2014,2571
121,326,2014,2581
118,306,2014,2584
240,529,2014,2585
94,230,2014,2588
341,860,2014,2590
74,201,2014,2592
292,600,2014,2594
107,239,2014,2617
251,423,2014,2730
129,295,2014,2732
198,396,2014,2733
219,524,2014,2734
369,787,2014,2736
231,496,2014,2738
46,125,2014,2742
211,446,2014,2743
486,1010,2014,2744
414,986,2014,2746
315,755,2014,2747
72,190,2014,2748
205,504,2014,2749
225,455,2014,2754
267,625,2014,2755
246,505,2014,2757
111,200,2014,2760
366,910,2014,2772
12,39,2014,2853
200,355,2014,101106
210,495,2014,101107
568,1170,2014,101108
43,106,2014,101109
24,91,2014,101110
150,362,2014,101111
191,487,2014,101112
298,771,2014,101114
65,162,2014,101122
324,778,2014,101123
88,255,2014,101126
359,817,2014,101127
17,63,2014,101128
81,192,2014,101131
117,212,2014,101133
160,313,2014,101135
344,683,2014,101138
329,827,2014,101139
263,557,2014,101141
602,1354,2014,101145
375,928,2014,101150
298,519,2014,101161
439,775,2014,101162
77,223,2014,101179
147,354,2014,101181
9,35,2014,101183
195,440,2014,101187
10,31,2014,101198
22,46,2014,101236
42,104,2014,101249
164,361,2014,200745
659,1415,2014,200746
1,1,2014,200748
148,402,2014,200751
508,1116,2014,200752
447,938,2014,200755
104,249,2014,200757
121,300,2014,200761
275,645,2014,200765
430,1043,2014,200768
7,19,2014,200769
61,158,2014,200770
74,151,2014,200777
22,56,2014,200779
261,596,2014,200782
443,930,2014,200794
53,82,2014,200797
109,255,2014,200811
225,536,2014,200826
238,467,2014,201142
519,965,2014,201143
393,882,2014,201144
416,967,2014,201145
342,804,2014,201147
233,363,2014,201148
190,427,2014,201149
163,415,2014,201150
451,968,2014,201152
332,754,2014,201155
174,476,2014,201156
199,470,2014,201158
257,592,2014,201160
198,423,2014,201162
418,975,2014,201163
344,817,2014,201166
375,884,2014,201167
169,303,2014,201168
190,369,2014,201171
117,255,2014,201175
28,53,2014,201177
530,1072,2014,201188
125,334,2014,201196
36,62,2014,201202
181,417,2014,201228
161,393,2014,201229
92,212,2014,201563
296,701,2014,201564
338,835,2014,201565
627,1471,2014,201566
413,952,2014,201567
228,568,2014,201568
285,694,2014,201569
257,645,2014,201571
506,987,2014,201572
220,516,2014,201573
201,428,2014,201574
11,54,2014,201575
234,437,2014,201577
318,646,2014,201578
317,710,2014,201579
42,79,2014,201580
218,459,2014,201581
181,329,2014,201582
291,729,2014,201583
288,643,2014,201584
182,358,2014,201585
374,786,2014,201586
239,599,2014,201587
255,535,2014,201588
155,384,2014,201589
139,328,2014,201593
80,145,2014,201595
267,663,2014,201596
379,534,2014,201599
213,412,2014,201600
251,636,2014,201601
5,21,2014,201604
502,1002,2014,201609
58,168,2014,201611
285,615,2014,201627
15,53,2014,201858
6,8,2014,201880
574,1144,2014,201933
647,1470,2014,201935
521,1165,2014,201936
78,219,2014,201937
653,1341,2014,201939
357,777,2014,201941
409,990,2014,201942
218,543,2014,201943
370,847,2014,201945
86,165,2014,201946
11,30,2014,201947
50,141,2014,201948
238,404,2014,201949
238,534,2014,201950
404,926,2014,201951
408,887,2014,201952
260,550,2014,201954
209,427,2014,201956
254,506,2014,201959
318,653,2014,201960
254,617,2014,201961
19,51,2014,201962
9,20,2014,201964
55,95,2014,201965
155,339,2014,201967
26,57,2014,201971
169,379,2014,201973
222,534,2014,201975
204,532,2014,201976
140,345,2014,201977
169,390,2014,201978
104,247,2014,201979
322,738,2014,201980
51,137,2014,201985
128,336,2014,201988
6,14,2014,201991
68,170,2014,202066
3,11,2014,202077
336,751,2014,202083
87,186,2014,202087
15,38,2014,202130
519,1166,2014,202322
320,746,2014,202323
482,918,2014,202324
286,691,2014,202325
498,1066,2014,202326
11,24,2014,202327
423,853,2014,202328
147,357,2014,202329
484,1087,2014,202330
18,49,2014,202331
144,301,2014,202332
3,13,2014,202333
282,469,2014,202334
240,535,2014,202335
86,172,2014,202336
92,191,2014,202337
231,450,2014,202338
468,1046,2014,202339
434,1012,2014,202340
14,37,2014,202343
226,464,2014,202344
188,447,2014,202347
296,725,2014,202349
243,387,2014,202355
20,41,2014,202361
207,550,2014,202362
50,94,2014,202366
32,58,2014,202379
145,355,2014,202388
314,566,2014,202389
188,503,2014,202390
277,654,2014,202391
143,367,2014,202397
19,44,2014,202399
81,238,2014,202407
182,442,2014,202498
12,14,2014,202620
577,1234,2014,202681
217,485,2014,202682
482,928,2014,202683
267,488,2014,202684
373,652,2014,202685
101,186,2014,202687
375,888,2014,202688
378,981,2014,202689
63,166,2014,202690
602,1299,2014,202691
121,300,2014,202692
512,1100,2014,202693
331,763,2014,202694
394,822,2014,202695
631,1206,2014,202696
193,471,2014,202697
442,949,2014,202699
353,700,2014,202700
373,736,2014,202702
253,624,2014,202703
432,996,2014,202704
14,35,2014,202706
229,557,2014,202708
207,411,2014,202709
421,912,2014,202710
261,576,2014,202711
172,446,2014,202713
117,292,2014,202714
383,829,2014,202718
121,273,2014,202720
36,106,2014,202721
0,1,2014,202723
141,299,2014,202730
62,139,2014,202734
335,796,2014,202738
18,40,2014,202779
18,40,2014,202952
30,49,2014,202962
642,1199,2014,203076
224,482,2014,203077
363,851,2014,203078
375,946,2014,203079
126,260,2014,203080
590,1360,2014,203081
309,752,2014,203082
494,961,2014,203083
316,656,2014,203084
203,495,2014,203085
125,245,2014,203086
104,250,2014,203087
46,101,2014,203088
196,346,2014,203089
63,158,2014,203090
340,619,2014,203092
158,299,2014,203093
83,190,2014,203094
253,575,2014,203095
311,708,2014,203096
49,99,2014,203098
12,33,2014,203099
175,434,2014,203100
136,254,2014,203101
73,183,2014,203103
76,139,2014,203105
45,114,2014,203106
12,27,2014,203108
229,544,2014,203109
339,765,2014,203110
152,331,2014,203112
9,38,2014,203113
406,869,2014,203114
150,353,2014,203115
201,453,2014,203118
85,178,2014,203120
1,7,2014,203121
69,197,2014,203123
119,242,2014,203124
40,78,2014,203128
79,172,2014,203133
126,306,2014,203135
8,12,2014,203136
224,543,2014,203138
122,319,2014,203141
112,310,2014,203142
91,228,2014,203143
133,335,2014,203144
141,331,2014,203145
176,452,2014,203148
238,502,2014,203156
62,154,2014,203187
91,235,2014,203200
27,47,2014,203210
22,41,2014,203268
2,5,2014,203315
3,15,2014,203318
185,327,2014,203382
302,653,2014,203457
179,353,2014,203458
63,153,2014,203459
92,201,2014,203460
125,297,2014,203461
79,201,2014,203462
363,831,2014,203463
159,365,2014,203468
172,373,2014,203469
284,665,2014,203471
91,162,2014,203473
61,162,2014,203475
259,512,2014,203476
146,378,2014,203477
1,2,2014,203479
32,64,2014,203481
251,528,2014,203482
390,972,2014,203484
52,122,2014,203485
280,489,2014,203486
364,919,2014,203487
83,151,2014,203488
20,57,2014,203489
176,391,2014,203490
206,470,2014,203492
23,69,2014,203493
32,96,2014,203495
299,756,2014,203496
258,427,2014,203497
194,397,2014,203498
187,432,2014,203499
217,399,2014,203500
279,717,2014,203501
159,371,2014,203503
370,1005,2014,203504
9,30,2014,203505
473,1086,2014,203506
383,780,2014,203507
54,134,2014,203508
7,26,2014,203511
2,8,2014,203512
64,174,2014,203515
101,247,2014,203516
111,307,2014,203521
251,634,2014,203524
104,309,2014,203527
36,89,2014,203530
3,20,2014,203539
43,89,2014,203540
108,296,2014,203544
3,8,2014,203545
19,55,2014,203546
0,3,2014,203552
55,137,2014,203561
0,1,2014,203564
3,12,2014,203565
20,58,2014,203580
61,165,2014,203584
87,269,2014,203798
5,19,2014,203805
8,25,2014,203893
87,228,2014,203894
286,677,2014,203897
52,144,2014,203898
76,210,2014,203900
301,708,2014,203901
267,596,2014,203903
14,44,2014,203906
172,434,2014,203909
26,75,2014,203910
16,38,2014,203912
70,170,2014,203913
66,217,2014,203914
51,169,2014,203915
108,296,2014,203917
155,374,2014,203918
35,86,2014,203919
76,214,2014,203921
26,67,2014,203922
36,102,2014,203923
124,352,2014,203924
48,120,2014,203925
43,107,2014,203926
75,167,2014,203928
7,20,2014,203930
93,208,2014,203932
113,214,2014,203933
175,477,2014,203935
31,89,2014,203937
31,67,2014,203939
91,220,2014,203940
30,76,2014,203943
1,3,2014,203944
1,4,2014,203945
3,14,2014,203946
44,120,2014,203948
24,44,2014,203949
21,37,2014,203950
497,1137,2014,203952
129,263,2014,203953
29,69,2014,203955
88,165,2014,203956
145,416,2014,203957
1,6,2014,203958
146,345,2014,203960
1,1,2014,203961
19,42,2014,203963
14,29,2014,203991
171,383,2014,203994
4,12,2014,203998
119,263,2014,204014
70,167,2014,204020
1,2,2014,204021
9,22,2014,204022
21,61,2014,204025
157,273,2014,204028
0,2,2014,204033
84,209,2014,204037
204,511,2014,204038
11,30,2014,204054
147,354,2014,204060
2,6,2014,204065
8,19,2014,204079
3121,6699,2014,1610612737
3193,7209,2014,1610612738
3088,6738,2014,1610612739
3107,6793,2014,1610612740
3001,6797,2014,1610612741
3255,7036,2014,1610612742
3099,7158,2014,1610612743
3410,7137,2014,1610612744
3032,6831,2014,1610612745
3227,6827,2014,1610612746
3054,7020,2014,1610612747
2885,6330,2014,1610612748
3083,6722,2014,1610612749
2985,6819,2014,1610612750
3069,6804,2014,1610612751
2882,6726,2014,1610612752
3076,6792,2014,1610612753
2998,6824,2014,1610612754
2765,6776,2014,1610612755
3178,7038,2014,1610612756
3172,7046,2014,1610612757
3010,6617,2014,1610612758
3208,6852,2014,1610612759
3183,7116,2014,1610612760
3108,6828,2014,1610612761
2900,6492,2014,1610612762
3097,6763,2014,1610612763
3139,6790,2014,1610612764
3041,7038,2014,1610612765
2913,6932,2014,1610612766
54,115,2015,708
398,1113,2015,977
215,441,2015,1495
133,343,2015,1713
498,1112,2015,1717
143,394,2015,1718
3,5,2015,1737
31,72,2015,1882
59,106,2015,1889
151,374,2015,1891
55,177,2015,1897
197,435,2015,1938
22,62,2015,2034
378,935,2015,2037
183,314,2015,2199
467,995,2015,2200
377,859,2015,2207
143,311,2015,2210
431,907,2015,2216
350,710,2015,2225
38,72,2015,2365
77,188,2015,2399
33,103,2015,2400
209,384,2015,2403
125,221,2015,2405
25,59,2015,2406
102,229,2015,2419
263,692,2015,2440
49,104,2015,2446
269,597,2015,2449
737,1415,2015,2544
567,1307,2015,2546
358,767,2015,2547
540,1183,2015,2548
20,43,2015,2549
49,129,2015,2550
50,109,2015,2555
244,448,2015,2561
6,14,2015,2563
202,383,2015,2564
40,75,2015,2570
171,370,2015,2571
93,240,2015,2581
219,470,2015,2585
29,56,2015,2588
132,302,2015,2590
58,142,2015,2592
267,616,2015,2594
23,61,2015,2617
372,600,2015,2730
203,379,2015,2733
166,373,2015,2734
338,744,2015,2736
176,368,2015,2738
121,295,2015,2743
245,505,2015,2744
127,349,2015,2746
352,849,2015,2747
113,307,2015,2749
215,469,2015,2754
156,418,2015,2755
106,277,2015,2756
86,197,2015,2757
53,124,2015,2760
357,859,2015,2772
175,279,2015,101106
338,746,2015,101107
515,1113,2015,101108
277,682,2015,101109
124,326,2015,101111
152,347,2015,101112
321,775,2015,101114
229,586,2015,101123
0,1,2015,101126
140,358,2015,101127
264,448,2015,101133
178,335,2015,101135
174,317,2015,101138
259,634,2015,101139
280,661,2015,101141
433,1015,2015,101145
281,691,2015,101150
